CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
1090872,2014,1,A,36.41,1679.0,195.0,0.59,12.99
1090872,2014,2,A,37.58,1731.0,139.0,0.42,12.13
1090872,2014,3,A,37.36,1766.0,147.0,0.44,12.97
1090872,2015,1,A,38.28,1026.0,72.0,0.21,11.22
1090872,2015,2,A,35.63,963.0,83.0,0.25,11.12
1090872,2015,3,A,31.8,1014.0,103.0,0.31,14.22
1090872,2016,1,A,37.01,1028.0,123.0,0.37,15.08
1090872,2016,2,A,41.43,1019.0,91.0,0.28,12.85
1090872,2016,3,A,44.09,1044.0,124.0,0.38,14.0
1090872,2017,1,A,49.76,1067.0,168.0,0.52,19.31
1090872,2017,2,A,55.95,1102.0,164.0,0.51,18.24
1090872,2017,3,A,60.56,1114.0,175.0,0.55,18.03
1090872,2018,1,A,63.38,1211.0,-320.0,-0.99,19.74
1090872,2018,2,A,58.72,1206.0,205.0,0.64,17.83
1090872,2018,3,A,67.14,1203.0,236.0,0.74,18.69
1090872,2019,1,A,76.86,1284.0,504.0,1.58,19.46
1090872,2019,2,A,71.54,1238.0,182.0,0.57,17.46
1090872,2019,3,A,73.74,1274.0,191.0,0.61,17.65
1090872,2020,1,A,69.24,1357.0,197.0,0.64,15.84
1090872,2020,2,A,85.62,1238.0,101.0,0.33,8.24
1090872,2020,3,A,97.79,1261.0,199.0,0.64,18.25
1090872,2021,1,A,123.6,1548.0,288.0,0.94,21.19
1090872,2021,2,A,143.91,1525.0,216.0,0.71,18.89
1090872,2021,3,A,153.58,1586.0,264.0,0.87,21.19
1090872,2022,1,A,129.34,1674.0,283.0,0.94,22.47
1090872,2022,2,A,116.27,1607.0,274.0,0.92,22.39
1090872,2022,3,A,119.2,1718.0,329.0,1.1,23.93
1090872,2023,1,A,136.11,1756.0,352.0,1.19,24.27
1090872,2023,2,A,118.73,1717.0,302.0,1.02,22.3
1090872,2023,3,A,110.4,1672.0,111.0,0.38,7.95
1090872,2024,1,A,144.2,1658.0,348.0,1.19,23.15
1090872,2024,2,A,128.67,1573.0,308.0,1.05,23.09
1090872,2024,3,A,147.66,1578.0,282.0,0.97,21.1
1090872,2025,1,A,116.73,1681.0,318.0,1.12,22.37
6201,2005,3,AAL,19.81,5485.0,-153.0,-0.93,0.71
6201,2006,1,AAL,37.71,5344.0,-92.0,-0.49,2.15
6201,2006,2,AAL,47.65,5975.0,291.0,1.44,7.97
6201,2006,3,AAL,41.79,5847.0,15.0,0.07,4.85
6201,2007,1,AAL,42.88,5427.0,81.0,0.35,4.57
6201,2007,2,AAL,28.54,5879.0,317.0,1.28,7.94
6201,2007,3,AAL,24.75,5946.0,175.0,0.7,5.36
6201,2008,1,AAL,8.4,5697.0,-328.0,-1.32,-3.28
6201,2008,2,AAL,2.36,6179.0,-1448.0,-5.77,-20.87
6201,2008,3,AAL,5.68,6421.0,45.0,0.17,-3.36
6201,2009,1,AAL,2.39,4839.0,-375.0,-1.35,-4.01
6201,2009,2,AAL,2.29,4889.0,-390.0,-1.39,-4.62
6201,2009,3,AAL,4.43,5127.0,-359.0,-1.26,-3.78
6201,2010,1,AAL,6.93,5068.0,-505.0,-1.52,-5.88
6201,2010,2,AAL,8.12,5674.0,-11.0,-0.03,3.45
6201,2010,3,AAL,8.72,5842.0,143.0,0.43,5.85
6201,2011,1,AAL,8.21,5533.0,-436.0,-1.31,-4.19
6201,2011,2,AAL,8.4,6114.0,-286.0,-0.85,-1.28
6201,2011,3,AAL,5.19,6376.0,-162.0,-0.48,0.61
6201,2012,1,AAL,7.16,6037.0,-1660.0,-4.95,-1.47
6201,2012,2,AAL,12.57,6452.0,-241.0,-0.72,2.2
6201,2012,3,AAL,9.86,6429.0,-238.0,-0.71,0.79
6201,2013,1,AAL,16.0,6098.0,-341.0,-1.02,0.85
6201,2013,2,AAL,15.48,6449.0,220.0,0.65,7.58
6201,2013,3,AAL,17.87,6828.0,289.0,0.86,10.22
6201,2014,1,AAL,34.5,9995.0,480.0,0.66,7.3
6201,2014,2,AAL,40.5,11355.0,864.0,1.2,12.32
6201,2014,3,AAL,33.53,11139.0,942.0,1.31,11.31
6201,2015,1,AAL,50.11,9827.0,932.0,1.34,12.38
6201,2015,2,AAL,38.0,10827.0,1704.0,2.47,17.73
6201,2016,1,AAL,39.3,9435.0,700.0,1.15,14.15
6201,2016,2,AAL,27.21,10363.0,950.0,1.69,16.88
6201,2017,1,AAL,40.97,9624.0,234.0,0.46,6.25
6201,2017,2,AAL,48.84,11105.0,803.0,1.64,13.83
6201,2017,3,AAL,46.19,10878.0,624.0,1.29,11.32
6201,2018,1,AAL,50.74,10401.0,186.0,0.39,4.14
6201,2018,2,AAL,37.16,11643.0,566.0,1.22,8.83
6201,2018,3,AAL,40.56,11559.0,341.0,0.74,5.62
6201,2019,1,AAL,31.34,10584.0,185.0,0.41,3.55
6201,2019,2,AAL,32.27,11960.0,662.0,1.49,9.63
6201,2019,3,AAL,26.78,11911.0,425.0,0.96,6.79
6201,2020,2,AAL,13.07,1622.0,-2067.0,-4.82,-153.11
6201,2020,3,AAL,12.29,3173.0,-2399.0,-4.71,-90.5
6201,2021,1,AAL,23.9,4008.0,-1250.0,-1.97,-32.81
6201,2021,2,AAL,21.21,7478.0,19.0,0.03,5.9
6201,2021,3,AAL,20.52,8969.0,169.0,0.26,6.64
6201,2022,1,AAL,18.25,8899.0,-1635.0,-2.52,-19.38
6201,2022,2,AAL,12.68,13422.0,476.0,0.73,7.58
6201,2022,3,AAL,12.04,13462.0,483.0,0.74,6.91
6201,2023,2,AAL,17.94,14055.0,1338.0,2.05,15.39
6201,2023,3,AAL,12.81,13482.0,-545.0,-0.83,-1.65
6201,2024,1,AAL,15.35,12570.0,-312.0,-0.48,0.06
6201,2024,2,AAL,11.33,14334.0,717.0,1.09,9.65
6201,2024,3,AAL,11.24,13647.0,-149.0,-0.23,0.65
320193,2000,3,AAPL,0.39,1825.0,200.0,0.62,9.21
320193,2001,1,AAPL,0.33,1007.0,-195.0,-0.58,-41.73
320193,2001,2,AAPL,0.35,1475.0,61.0,0.17,2.1
320193,2002,1,AAPL,0.36,1375.0,38.0,0.11,-0.29
320193,2002,3,AAPL,0.22,1429.0,32.0,0.09,0.91
320193,2003,1,AAPL,0.21,1472.0,-8.0,-0.02,-2.51
320193,2003,2,AAPL,0.29,1545.0,19.0,0.05,0.58
320193,2004,1,AAPL,0.41,2006.0,63.0,0.17,3.69
320193,2004,2,AAPL,0.49,1909.0,46.0,0.13,2.72
320193,2004,3,AAPL,0.58,2014.0,61.0,0.16,3.57
320193,2005,1,AAPL,1.25,3490.0,295.0,0.75,11.55
320193,2005,3,AAPL,1.61,3520.0,320.0,0.39,12.13
320193,2005,4,AAPL,2.16,5749.0,565.0,0.68,13.04
320193,2006,1,AAPL,1.89,4359.0,410.0,0.49,12.14
320193,2006,3,AAPL,2.32,4370.0,472.0,0.55,12.95
320193,2007,1,AAPL,2.8,7115.0,1004.0,1.17,18.58
320193,2007,3,AAPL,4.62,5410.0,818.0,0.94,19.24
320193,2008,1,AAPL,4.32,9608.0,1581.0,1.81,22.12
320193,2008,3,AAPL,3.42,7464.0,1072.0,1.21,18.65
320193,2009,1,AAPL,3.16,10167.0,1605.0,1.81,20.91
320193,2009,3,AAPL,5.58,8337.0,1229.0,1.38,20.05
320193,2009,4,AAPL,6.34,15683.0,3378.0,3.74,30.11
320193,2010,1,AAPL,7.07,13499.0,3074.0,3.39,29.47
320193,2010,2,AAPL,7.57,15700.0,3253.0,3.57,26.98
320193,2011,1,AAPL,10.49,26741.0,6004.0,6.53,29.26
320193,2011,2,AAPL,10.1,28571.0,7308.0,7.89,32.83
320193,2012,1,AAPL,18.04,46333.0,13064.0,14.03,37.43
320193,2012,2,AAPL,17.57,35023.0,8824.0,9.42,33.06
320193,2013,1,AAPL,13.52,54512.0,13078.0,13.93,31.57
