CIK,Ticker,Year,Quarter,Total Revenue,Net Income,Operating Margin,EPS,Stock Price
6201,AAL,2014,3,11139.0,942.0,11.31,1.31,33.53
6201,AAL,2015,1,9827.0,932.0,12.38,1.34,50.11
6201,AAL,2015,2,10827.0,1704.0,17.73,2.47,38.0
6201,AAL,2016,1,9435.0,700.0,14.15,1.15,39.3
6201,AAL,2016,2,10363.0,950.0,16.88,1.69,27.21
6201,AAL,2017,1,9624.0,234.0,6.25,0.46,40.97
6201,AAL,2017,2,11105.0,803.0,13.83,1.64,48.84
6201,AAL,2017,3,10878.0,624.0,11.32,1.29,46.19
6201,AAL,2018,1,10401.0,186.0,4.14,0.39,50.74
6201,AAL,2018,2,11643.0,566.0,8.83,1.22,37.16
6201,AAL,2018,3,11559.0,341.0,5.62,0.74,40.56
6201,AAL,2019,1,10584.0,185.0,3.55,0.41,31.34
6201,AAL,2019,2,11960.0,662.0,9.63,1.49,32.27
6201,AAL,2019,3,11911.0,425.0,6.79,0.96,26.78
6201,AAL,2020,2,1622.0,-2067.0,-153.11,-4.82,13.07
6201,AAL,2020,3,3173.0,-2399.0,-90.5,-4.71,12.29
6201,AAL,2021,1,4008.0,-1250.0,-32.81,-1.97,23.9
6201,AAL,2021,2,7478.0,19.0,5.9,0.03,21.21
6201,AAL,2021,3,8969.0,169.0,6.64,0.26,20.52
6201,AAL,2022,1,8899.0,-1635.0,-19.38,-2.52,18.25
6201,AAL,2022,2,13422.0,476.0,7.58,0.73,12.68
6201,AAL,2022,3,13462.0,483.0,6.91,0.74,12.04
6201,AAL,2023,2,14055.0,1338.0,15.39,2.05,17.94
6201,AAL,2023,3,13482.0,-545.0,-1.65,-0.83,12.81
6201,AAL,2024,1,12570.0,-312.0,0.06,-0.48,15.35
6201,AAL,2024,2,14334.0,717.0,9.65,1.09,11.33
6201,AAL,2024,3,13647.0,-149.0,0.65,-0.23,11.24
320193,AAPL,2000,3,1825.0,200.0,9.21,0.62,0.39
320193,AAPL,2001,1,1007.0,-195.0,-41.73,-0.58,0.33
320193,AAPL,2001,2,1475.0,61.0,2.1,0.17,0.35
320193,AAPL,2002,1,1375.0,38.0,-0.29,0.11,0.36
320193,AAPL,2002,3,1429.0,32.0,0.91,0.09,0.22
320193,AAPL,2003,1,1472.0,-8.0,-2.51,-0.02,0.21
320193,AAPL,2003,2,1545.0,19.0,0.58,0.05,0.29
320193,AAPL,2004,1,2006.0,63.0,3.69,0.17,0.41
320193,AAPL,2004,2,1909.0,46.0,2.72,0.13,0.49
320193,AAPL,2004,3,2014.0,61.0,3.57,0.16,0.58
320193,AAPL,2005,1,3490.0,295.0,11.55,0.75,1.25
320193,AAPL,2005,3,3520.0,320.0,12.13,0.39,1.61
320193,AAPL,2005,4,5749.0,565.0,13.04,0.68,2.16
320193,AAPL,2006,1,4359.0,410.0,12.14,0.49,1.89
320193,AAPL,2006,3,4370.0,472.0,12.95,0.55,2.32
320193,AAPL,2007,1,7115.0,1004.0,18.58,1.17,2.8
320193,AAPL,2007,3,5410.0,818.0,19.24,0.94,4.62
320193,AAPL,2008,1,9608.0,1581.0,22.12,1.81,4.32
320193,AAPL,2008,3,7464.0,1072.0,18.65,1.21,3.42
320193,AAPL,2009,1,10167.0,1605.0,20.91,1.81,3.16
320193,AAPL,2009,3,8337.0,1229.0,20.05,1.38,5.58
320193,AAPL,2009,4,15683.0,3378.0,30.11,3.74,6.34
320193,AAPL,2010,1,13499.0,3074.0,29.47,3.39,7.07
320193,AAPL,2010,2,15700.0,3253.0,26.98,3.57,7.57
320193,AAPL,2011,1,26741.0,6004.0,29.26,6.53,10.49
320193,AAPL,2011,2,28571.0,7308.0,32.83,7.89,10.1
320193,AAPL,2012,1,46333.0,13064.0,37.43,14.03,18.04
320193,AAPL,2012,2,35023.0,8824.0,33.06,9.42,17.57
320193,AAPL,2013,1,54512.0,13078.0,31.57,13.93,13.52
320193,AAPL,2013,3,35323.0,6900.0,26.05,7.51,14.75
320193,AAPL,2013,4,57594.0,13072.0,30.32,14.59,17.46
320193,AAPL,2014,1,45646.0,10223.0,29.78,11.69,16.81
320193,AAPL,2014,2,37432.0,7748.0,27.48,1.29,20.48
320193,AAPL,2015,1,74599.0,18024.0,32.5,3.08,27.79
320193,AAPL,2015,2,58010.0,13569.0,31.5,2.34,28.13
320193,AAPL,2015,3,49605.0,10677.0,28.4,1.86,24.85
320193,AAPL,2016,1,75872.0,18361.0,31.83,3.3,24.79
320193,AAPL,2016,3,42358.0,7796.0,23.85,1.43,26.01
320193,AAPL,2017,1,78351.0,17891.0,29.81,3.38,33.37
320193,AAPL,2017,3,52896.0,11029.0,26.67,2.11,36.09
320193,AAPL,2018,1,88293.0,20065.0,29.77,3.92,39.59
320193,AAPL,2018,3,53265.0,11519.0,23.69,2.36,53.66
320193,AAPL,2019,1,84310.0,19965.0,27.7,4.22,45.5
320193,AAPL,2019,2,58015.0,11561.0,23.1,2.47,47.59
320193,AAPL,2019,3,53809.0,10044.0,21.45,2.2,54.06
320193,AAPL,2020,1,91819.0,22236.0,27.83,5.04,61.71
320193,AAPL,2020,2,58313.0,11249.0,22.05,2.58,88.77
320193,AAPL,2020,3,59685.0,11253.0,21.93,2.61,112.93
320193,AAPL,2021,1,111439.0,28755.0,30.06,1.7,119.49
320193,AAPL,2021,2,89584.0,23630.0,30.69,1.41,134.21
320193,AAPL,2021,3,81434.0,21744.0,29.6,1.31,138.86
320193,AAPL,2022,1,123945.0,34630.0,33.47,2.11,171.83
320193,AAPL,2022,2,97278.0,25010.0,30.83,1.54,134.74
320193,AAPL,2022,3,82959.0,19442.0,27.8,1.2,136.39
320193,AAPL,2023,1,117154.0,29998.0,30.73,1.89,163.25
320193,AAPL,2023,2,94836.0,24160.0,29.84,1.53,192.3
320193,AAPL,2023,3,81797.0,19881.0,28.13,1.27,169.96
320193,AAPL,2024,1,119575.0,33916.0,33.76,2.19,170.67
320193,AAPL,2024,2,90753.0,23636.0,30.74,1.53,209.91
320193,AAPL,2024,3,85777.0,21448.0,29.53,1.4,232.49
320193,AAPL,2025,1,124300.0,36330.0,34.47,2.41,222.13
1551152,ABBV,2013,1,4329.0,968.0,30.13,0.61,24.95
1551152,ABBV,2013,2,4692.0,1068.0,30.97,0.67,25.52
1551152,ABBV,2013,3,4658.0,964.0,29.45,0.6,27.87
1551152,ABBV,2014,1,4563.0,980.0,29.6,0.61,32.57
1551152,ABBV,2014,2,4926.0,1098.0,30.77,0.69,36.08
1551152,ABBV,2014,3,5019.0,506.0,19.14,0.32,37.21
